rule_id,platform,category,reference_count,reference_domains,reference_urls,source_tier,sweepx_coverage
ai.huggingface-xet-cache,macos,ai,0,,,missing_reference,not_covered
app.adobe-media-cache,macos,application,1,helpx.adobe.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.apple-mail-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.baidu-netdisk-rendering-cache,macos,application,3,chromium.googlesource.com;pan.baidu.com;www.electronjs.org,,documentation_candidate,not_covered
app.chatgpt-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.clash-verge-diagnostic-cache,macos,application,1,github.com,,identity_or_lead_only,not_covered
app.claude-cache,macos,application,3,chromium.googlesource.com;support.claude.com;www.electronjs.org,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.core-device-cache,macos,application,1,developer.apple.com,,documentation_candidate,not_covered
app.dingtalk-content-cache,macos,application,1,page.dingtalk.com,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
app.dingtalk-diagnostic-cache,macos,application,0,,,missing_reference,not_covered
app.discord-cache,macos,application,2,chromium.googlesource.com;www.electronjs.org,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.electron-productivity-cache,macos,application,2,chromium.googlesource.com;www.electronjs.org,,documentation_candidate,not_covered
app.figma-cache,macos,application,1,www.electronjs.org,,identity_or_lead_only,partially_covered_by_coarse_platform_rule
app.flashvoice-cache,macos,application,1,developer.apple.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
app.game-launcher-cache,macos,application,1,www.epicgames.com,,identity_or_lead_only,covered_by_coarse_platform_rule
app.google-updater-cache,macos,application,1,support.google.com,,identity_or_lead_only,not_covered
app.iwork-cache,macos,application,1,developer.apple.com,,documentation_candidate,covered_by_coarse_platform_rule
app.lark-renderer-cache,macos,application,2,chromium.googlesource.com;www.larksuite.com,,documentation_candidate,partially_covered_by_coarse_platform_rule
